SN,Name,Type
1,University of Zambia (UNZA),Univeristy
2,Copperbelt University (CBU),Univeristy
3,Lusaka Apex Medical university,Univeristy
4,Cavendish University Zambia,Univeristy
5,Northrise University,Univeristy
6,Copperstone University College,Univeristy
7,Zambia Catholic University,Univeristy
8,Mulungushi University,Univeristy
9,DMI - St. Eugene University,Univeristy
10,Rusangu University,Univeristy
11,LIUTEBM University,Univeristy
12,University of Lusaka (UNILUS),Univeristy
13,Zambian Open University,Univeristy
14,Robert Golden University,Univeristy
15,St. Bonaventure University College,Univeristy
16,French School of Lusaka,International School
17,American International School of Lusaka,International School
18,International School of Lusaka,International School
19,Lusaka International Community School,International School
20,"St. Bonaventure College, Makeni - Lusaka",College
21,Kitwe International School,College
22,Azzalia University,College
23,Charles Lwanga College of Education,College
24,Chipata College of Education,College
25,Copperbelt Teachers' Training College,College
26,David Livingstone College of Education,College
27,Digitech School of computers,College
28,Evelyn Hone College,College
29,Greenwood Institute,College
30,Hotel & Tourism Training Institute Trust,College
31,Kasama College of Education,College
32,Kasia Secretarial College,College
33,Kwame Nkurumah Teachers Training College,College
34,Kitwe Teachers' Training College,College
35,Kitwe Trades School,College
36,Livingstone Institute of Business and Engineering Studies,College
37,Livingstone training college,College
38,Malcom Moffat College of Education,College
39,Mansa College of Education,College
40,Mongu College of Education,College
41,Mufulira College of Education,College
42,"National In-Service Teachers College, Chalimbana",College
43,National Institute of Public Administration,College
44,Nkumbi International College,College
45,"Northern Technical College (NORTEC), Ndola",College
46,Rhodes Training Institute,College
47,Solwezi College of Education,College
48,TVTC of Luanshya,College
49,Zambia Air Services Training Institute,College
50,Zambia College of Agriculture,College
51,Zambia Centre For Accountancy Studies,College
52,Zambia Forestry College,College
53,Zambia Insurance Business College Trust,College
54,Zambia Institute of Mass Communication,College
55,Zambia Institute of Special Education,College
56,Zambia Open University,College
57,Zamtel Staff Training College,College
58,Zampost Staff Training College,College
59,ZIBSIP,College
60,Mambwe Secondary School,Secondary School
61,Mansa Secondary School,Secondary School
62,Matero Boys Secondary School,Secondary School
63,Mufulira Secondary School,Secondary School
64,Mufulira Trust School,Secondary School
65,Mukinge Girls Secondary School,Secondary School
66,Mukuba Secondary School,Secondary School
67,Mumbwa Secondary School,Secondary School
68,Munali Secondary School,Secondary School
69,Mungwi Technical High School,Secondary School
70,"Musamba Secondary School, Chilanga",Secondary School
71,Muyombe High School,Secondary School
72,Nchelenge Dual Secondary School,Secondary School
73,Kitwe International School,Secondary School
74,Angelina Tembo Girls Secondary School,Secondary School
75,Anoya Zulu Secondary School,Secondary School
76,Arakan Secondary School,Secondary School
77,Banani International Secondary School,Secondary School
78,Baobab College,Secondary School
79,Bayuni Secondary School,Secondary School
80,Butondo Secondary School,Secondary School
81,Bwacha Secondary School,Secondary School
82,Canisius Secondary School,Secondary School
83,Chadiza Secondary School,Secondary School
84,Chalo Trust School,Secondary School
85,Chama Secondary school,Secondary School
86,Chamboli secondary school,Secondary School
87,Chassa Boys Secondary School,Secondary School
88,Chavuma Secondary School in Kalulushi,Secondary School
89,Chengelo Secondary School,Secondary School
